Pid      Process              Base       InLoad InInit InMem MappedPath
     516 services.exe         0x74f70000 True   True   True  \Windows\System32\apphelp.dll
     516 services.exe         0x74790000 True   True   True  \Windows\System32\credssp.dll
     516 services.exe         0x76da0000 True   True   True  \Windows\System32\imm32.dll
     516 services.exe         0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     516 services.exe         0x75070000 True   True   True  \Windows\System32\profapi.dll
     516 services.exe         0x75030000 True   True   True  \Windows\System32\winsta.dll
     516 services.exe         0x76340000 True   True   True  \Windows\System32\sechost.dll
     516 services.exe         0x76470000 True   True   True  \Windows\System32\kernel32.dll
     516 services.exe         0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     516 services.exe         0x74ee0000 True   True   True  \Windows\System32\scesrv.dll
     516 services.exe         0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     516 services.exe         0x74aa0000 True   True   True  \Windows\System32\wship6.dll
     516 services.exe         0x75370000 True   True   True  \Windows\System32\msctf.dll
     536 lsass.exe            0x747a0000 True   True   True  \Windows\System32\scecli.dll
     536 lsass.exe            0x00690000 True   False  True  \Windows\System32\lsass.exe
     536 lsass.exe            0x77070000 True   True   True  \Windows\System32\Wldap32.dll
     536 lsass.exe            0x76340000 True   True   True  \Windows\System32\sechost.dll
     536 lsass.exe            0x74630000 True   True   True  \Windows\System32\IPHLPAPI.DLL
     536 lsass.exe            0x73760000 True   True   True  \Windows\System32\wkscli.dll
     536 lsass.exe            0x74970000 True   True   True  \Windows\System32\dnsapi.dll
     536 lsass.exe            0x74ba0000 True   True   True  \Windows\System32\negoexts.dll
     536 lsass.exe            0x70810000 True   True   True  \Windows\System32\CertPolEng.dll
     536 lsass.exe            0x76a30000 True   True   True  \Windows\System32\usp10.dll
     536 lsass.exe            0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     536 lsass.exe            0x74c00000 True   True   True  \Windows\System32\bcrypt.dll
     536 lsass.exe            0x74940000 True   True   True  \Windows\System32\logoncli.dll
     536 lsass.exe            0x6d640000 True   True   True  \Windows\System32\psbase.dll
     536 lsass.exe            0x74c20000 True   True   True  \Windows\System32\ncrypt.dll
     536 lsass.exe            0x76630000 True   True   True  \Windows\System32\ws2_32.dll
     536 lsass.exe            0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     536 lsass.exe            0x74a50000 True   True   True  \Windows\System32\msv1_0.dll
     536 lsass.exe            0x74c60000 True   True   True  \Windows\System32\authz.dll
     536 lsass.exe            0x74c80000 True   True   True  \Windows\System32\cngaudit.dll
     536 lsass.exe            0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     536 lsass.exe            0x74880000 True   True   True  \Windows\System32\efslsaext.dll
     536 lsass.exe            0x76460000 True   True   True  \Windows\System32\nsi.dll
     536 lsass.exe            0x74bc0000 True   True   True  \Windows\System32\netjoin.dll
     536 lsass.exe            0x746b0000 True   True   True  \Windows\System32\gpapi.dll
     536 lsass.exe            0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     536 lsass.exe            0x746d0000 True   True   True  \Windows\System32\userenv.dll
     536 lsass.exe            0x74ce0000 True   True   True  \Windows\System32\cryptdll.dll
     536 lsass.exe            0x77060000 True   True   True  \Windows\System32\lpk.dll
     536 lsass.exe            0x74af0000 True   True   True  \Windows\System32\cryptsp.dll
     536 lsass.exe            0x74900000 True   True   True  \Windows\System32\schannel.dll
     536 lsass.exe            0x74b10000 True   True   True  \Windows\System32\kerberos.dll
     536 lsass.exe            0x74f30000 True   True   True  \Windows\System32\secur32.dll
     536 lsass.exe            0x74540000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     536 lsass.exe            0x74ab0000 True   True   True  \Windows\System32\mswsock.dll
     536 lsass.exe            0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     536 lsass.exe            0x75370000 True   True   True  \Windows\System32\msctf.dll
     536 lsass.exe            0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     536 lsass.exe            0x74790000 True   True   True  \Windows\System32\credssp.dll
     536 lsass.exe            0x74da0000 True   True   True  \Windows\System32\lsasrv.dll
     536 lsass.exe            0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     536 lsass.exe            0x749c0000 True   True   True  \Windows\System32\netlogon.dll
     536 lsass.exe            0x747d0000 True   True   True  \Windows\System32\bcryptprimitives.dll
     536 lsass.exe            0x768a0000 True   True   True  \Windows\System32\gdi32.dll
     536 lsass.exe            0x74bf0000 True   True   True  \Windows\System32\msprivs.dll
     536 lsass.exe            0x6de00000 True   True   True  \Windows\System32\pstorsvc.dll
     536 lsass.exe            0x74ed0000 True   True   True  \Windows\System32\sspisrv.dll
     536 lsass.exe            0x74810000 True   True   True  \Windows\System32\pku2u.dll
     536 lsass.exe            0x73770000 True   True   True  \Windows\System32\netutils.dll
     536 lsass.exe            0x74620000 True   True   True  \Windows\System32\winnsi.dll
     536 lsass.exe            0x75030000 True   True   True  \Windows\System32\winsta.dll
     536 lsass.exe            0x74850000 True   True   True  \Windows\System32\TSpkg.dll
     536 lsass.exe            0x750e0000 True   True   True  \Windows\System32\msasn1.dll
     536 lsass.exe            0x75070000 True   True   True  \Windows\System32\profapi.dll
     536 lsass.exe            0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     536 lsass.exe            0x6d490000 True   True   True  \Windows\System32\dssenh.dll
     536 lsass.exe            0x74890000 True   True   True  \Windows\System32\rsaenh.dll
     536 lsass.exe            0x74aa0000 True   True   True  \Windows\System32\wship6.dll
     536 lsass.exe            0x75200000 True   True   True  \Windows\System32\crypt32.dll
     536 lsass.exe            0x74c90000 True   True   True  \Windows\System32\wevtapi.dll
     536 lsass.exe            0x748d0000 True   True   True  \Windows\System32\wdigest.dll
     536 lsass.exe            0x76470000 True   True   True  \Windows\System32\kernel32.dll
     536 lsass.exe            0x76ad0000 True   True   True  \Windows\System32\user32.dll
     536 lsass.exe            0x74d00000 True   True   True  \Windows\System32\samsrv.dll
     536 lsass.exe            0x76da0000 True   True   True  \Windows\System32\imm32.dll
     544 lsm.exe              0x75440000 True   True   True  \Windows\System32\msvcrt.dll
     544 lsm.exe              0x001d0000 False  False  False \Windows\System32\en-US\lsm.exe.mui
     544 lsm.exe              0x74f30000 True   True   True  \Windows\System32\secur32.dll
     544 lsm.exe              0x76340000 True   True   True  \Windows\System32\sechost.dll
     544 lsm.exe              0x74680000 True   True   True  \Windows\System32\pcwum.dll
     544 lsm.exe              0x74f50000 True   True   True  \Windows\System32\sspicli.dll
     544 lsm.exe              0x75060000 True   True   True  \Windows\System32\RpcRtRemote.dll
     544 lsm.exe              0x76470000 True   True   True  \Windows\System32\kernel32.dll
     544 lsm.exe              0x76f20000 True   True   True  \Windows\System32\ntdll.dll
     544 lsm.exe              0x74d90000 True   True   True  \Windows\System32\wmsgapi.dll
     544 lsm.exe              0x74ea0000 True   True   True  \Windows\System32\sysntfy.dll
     544 lsm.exe              0x75320000 True   True   True  \Windows\System32\KernelBase.dll
     544 lsm.exe              0x00bc0000 True   False  True  \Windows\System32\lsm.exe
     544 lsm.exe              0x76670000 True   True   True  \Windows\System32\rpcrt4.dll
     544 lsm.exe              0x768f0000 True   True   True  \Windows\System32\advapi32.dll
     544 lsm.exe              0x74fc0000 True   True   True  \Windows\System32\cryptbase.dll
     544 lsm.exe              0x74790000 True   True   True  \Windows\System32\credssp.dll
     660 svchost.exe          0x746b0000 True   True   True  \Windows\System32\gpapi.dll
